ID_MUNICIP,code_muni,ID_ESTADO
330490,3304904,33
520490,5204904,52
230490,2304905,23
420490,4204905,42
270490,2704906,27
320490,3204906,32
510490,5104906,51
220490,2204907,22
410490,4104907,41
260490,2604908,26
310490,3104908,31
500490,5004908,50
210490,2104909,21
350490,3504909,35
150495,1504950,15
430495,4304952,43
520495,5204953,52
230495,2304954,23
320495,3204955,32
150497,1504976,15
280500,2805000,28
330500,3305000,33
520500,5205000,52
230500,2305001,23
420500,4205001,42
270500,2705002,27
320500,3205002,32
510500,5105002,51
220500,2205003,22
410500,4105003,41
260500,2605004,26
310500,3105004,31
500500,5005004,50
210500,2105005,21
350500,3505005,35
250500,2505006,25
150500,1505007,15
290500,2905008,29
240500,2405009,24
430500,4305009,43
320501,3205010,32
150503,1505031,15
320503,3205036,32
520505,5205059,52
